tanggal,judul,narasi
17-Aug-20,Pemakaian Masker Menyebabkan Penyakit Legionnaires,A caller to a radio talk show recently shared that his wife was hospitalized n told she had COVID n only a couple of days left to live . A doctor friend suggested she be tested for legionnaires disease because she wore the same mask every day all day long . Turns out it WAS legionnaires disease from the moisture n bacteria in her mask . She was given antibiotics n within two days was better . WHAT IF these spikes in COVID are really something else due to mask induced infections ?
17-Jul-20,Instruksi Gubernur Jateng Tentang Penilangan  Bagi Yg Tidak Bermasker Di Muka Umum Rp.150.000 Menggunakan E-Tilang Via Apps Pikobar,Yth.Seluruh Anggota Grup Sesuai Instruksi Gubernur Jawa Tengah Hasil Rapat Tim Gugus Tugas Covid 19 Jateng sbb:
13-Jul-20,Foto Jim Rohn: Jokowi Adalah Presiden Terbaik Dlm Sejarah Bangsa Indonesia,"Jokowi adalah presiden terbaik dlm sejarah bangsa Indonesia. Jim Rohn, motivator terbaik dunia"
8-Jul-20,"Ini Bukan Politik, Tapi Kenyataan Pak Jokowi Berhasil Memulangkan 11,000 Triliun Uang Negara Dari Swiss.","Maaf Mas2 dan Mbak2, ini bukan politik, tapi kenyataan Pak Jokowi berhasil memulangkan 11,000 Triliun uang negara dari Swiss. 11ribu Triliun siap di bawa balik ke Indonesia.RUU Treaty on Mutual Legal Assistance in Criminal Matters between the Republic of Indonesia and The Swiss Confederation (MLA RI-Swiss) resmi disahkan DPR RI tanggal 3 juli 2020. Dengan demikian proses konstitusi menarik dana di Swiss sudah selesai. Perjuangan yang panjang menghadapi ex koruptor yang bersenggama dengan agama. Terimakasih para kadrun yang terus nyinyirian kapan uang 11.000 triliun kembali ke Indonesia. Tanpa anda nyinyir, rasanya sulit RUU itu bisa disahkan oleh DPR. Pemilik 84 rekening gendut siap siap gigit jari . Mungkin tekanan ke Pak Jokowi makin kencang. ini baca beritanya"
24-Jun-20,Foto Kadrun Kalo Lihat Foto Ini Panas Dingin,Kadrun kalo lihat foto ini panas dingin . .
17-Jun-20,Event Promo Smartphone Jne 2020 Spesial Di Bulan Juni,"selamat siang teman teman fb ku semuanya,cuman mau memberi informasi dan rezeky gak kemana ya, kemarin saya mengikuti event promo smartphone JNE 2020 spesial di bulan juni ini dan saya mesan smartphone VIVO V15 PRO cuman seharga Rp.900.000-,gak nyangka cuma seharga Rp.900.000 aku bisa mendapat hp VIVO V15 PRO ,bagi teman teman fb ku yg penasaran atau mau ikutan INBOX AJA WA ADMINNYA 0823-7142-9***"
5-May-20,Mereka Sudah Mempersiapkan Diri Dengan Baik Untuk Menguasai Negri Ini!,LIHATLAH MEREKA SUDAH MEMPERSIAPKAN DIRI DENGAN BAIK UNTUK MENGUASAI NEGRI INI!
24-Mar-20,Foto Presiden Italia Menangis Karena Tak Cukup Lahan Untuk Mengubur 700An Korban Corona Per Hari,Italia punya fasilitas perawatan kesehatan tercanggih tapi semuanya gagal mengendalikan corona karena awalnya itu hanya dianggap sekadar lelucon dan sekarang presiden mereka menangis karena tak cukup lahan untuk mengubur 700an korban corona per hari (mungkin hari ini sudah lebih dari 700).
9-Jan-20,"Kapolres Timor Tengah Utara , Nusa Tenggara Timur  Beri Klarifikasi Terkait Video Polisi Diamkan Korban Kecelakaan",Polisi goblok. Bukanya cpet d tolongin malah d liati aja
24-Dec-19,Video Polisi China Telah Menganiaya Wanita Uighur Lehernya Di Cekik Pake Kaki,"Polisi china telah menganiaya wanita uighur lehernya di cekik pake kaki ,melek tu yg bilang tidak ada penganiayaan Dan Ham diam seribu bahasa  Seolah polisi itu berkata liat nanti giliran anda sama orang di sekitarnya biadab"
13-Oct-19,"Akhirnya, Jokowi Bersedia Mengundurkan Diri","Akhirnya, Jokowi bersedia mengundurkan diri.
 Gue harus siap2 nih"
26-Aug-19,Info Jalur Rawan Begal Dan Himbauan Untuk Tidak Keluar Malam Oleh Kapolres Cianjur,"Begal sudah mulai merambat ke wilayah CIANJUR!
 Wilayah rewan begal antara lain, d harapkan waspada penuh terutama d malam hari
 01. jalur gekbrong arah sukabmi
 02. Cibeber dari arah campaka sampe
 cilaku."
29-Jul-19,Dirut Pt Agung Podomoro Land Cosmas Batubara Meninggal Dunia,"Turut berduka cita atas
 meninggalnya Pejuang Angkatan 66 Bapak Cosmas Batubara hari Sabtu 27 Juli 2019 pukul 15.00 WIB. Semoga Yang Maha Kuasa mengampuni segala dosanya dan mendapat tempat yang layak disisi Nya. Aamiin."
20-Apr-19,Sby Sudah Telepon Moeldoko Suruh Jokowi Akui Kekalahan,"Bantu sebar ya
Pak SBY sudah telpon Moeldoko, suruh JKW akui kekalahan. Ini info dari seorang jenderal Jadi gak usah pada gusar & panik lagi ya pejuang-pejuang 02
INFO VALID"
2-Mar-19,Foto Anak Rohingya Disiksa Komunis,Relakah anak cucu kita dibikin seperti anak2 rohingya ini ketika Komunis berkuasa?
25-Jan-19,Orang Cina Punya Ktp Cilacap Atas Nama Karsono,"Ini kejadian di PLN PLTU Cilacap Bunton Adipala, orang Cina tidak bisa berbahasa Indonesia apalagi bahasa jawa Banyumasan tp punya KTP Cilacap atas nama Karsono, payah kie Camat dan Bupatine
Kalau bener2 terjadi"
14-Apr-18,Fadli Zon : Semua Warga Indonesia Yang Tidak Pilih Prabowo Di Pilpres 2019 Akan Kami Usir Dari Indonesia,Fadlizon: Semua warga Indonesia yg tdk pilih Prabowo di Pilpres 2019 akan km usir dr Indonesia. Serius ini si Zonk! https://t.co/jVjxC0jhmp
14-Mar-18,Pesan Berantai Undian Berhadiah Dari Kementerian Tenaga Kerja Untuk Pekerja Migran Indonesia  Di Hongkong,"INFORMASI RESMI DARI DEPNAKER REPUBLIK INDONESIA !
 Selamat Anda Terpilih Mendapatkan PENGHARGAAN sebesar NT $. 350.000 dari DEPARTEMEN KETENAGA KERJAAN INDONESIA. Sebagai Pahlawan Devisa Negara terbaik Tahun 2017-2018. Kode registrasi TWN37589
 Hubungi Call office:
 +62853-9313-1245
 A/n HARYONO
 Atau kunjungi Alamat Website:
 www.DEPNAKER.yolasite.com
 1. Bagi anda penerimah pemberitahuan ini melalui Telephone atau Sms Whatsapp. Berarti telah resmi mendapatkan penghargaan tersebut tanpa diundi lagi.
 2. Penghargaan Depnaker Bebas Biaya dan telah mendapat sertifikat Bebas pajak dari pemerintah Republik Indonesia.
 3. Pengurusan Penghargaan telah mendapat Pengawasan dari Kepolisian Negara Republik Indonesia dumaksudkan untuk menghindari hal-hal Negatif.
 Peringatan:
 HATI HATI PENIPUAN BILA DALAM PENGURUSAN ANDA DIMINTAI BIAYA, DARI OKNUM OKNUM YANG TIDAK BERTANGGUNH JAWAB. TANPA SEPENGETAHUAN DARI PIHAK DEPNAKER RI.
 pengirim:
 Depnaker Ri.
 73538373777"
11-Dec-17,Indonesia Di Penuhi Pki,Hahhahhahahhaha indonesia di penuhi pki gimanah nih pa kowi.
12-Oct-17,Demo Dan Konflik Antara Ojek Online Dengan Angkutan Umum Di Bandung,"Prediksi Besok Bandung kota. Besok Di sinyalir ada Dua Kubu besar 1.Demo lg besaran 2.Ojek Online gabungan Mau Kumpul Minta Tggung jawab ke kubu Angkot Gabungan, Soalnya Di jl.bkr Grab ojek Di Tabrak Sngaja sampe Mati, Di buah batu grab Mati Jg Di Tabrak Angkot, Di karapitan Grab jg Di Gebukin Angkot, Ada jg ojek online Yg Hilang Ga ada kabar."
13-Jul-16,: Hati -Hati Panggilan Telpon Nomor Tidak Dikenal !,Hati -hati Panggilan Telpon Nomor Tidak Dikenal !
15-Sep-15,Larangan Anti-Miras Di Minimarket Ditiadakan Oleh Rezim Jokowi Paska Gobel,"Pada 16 April lalu, Menteri Perdagangan Rachmat Gobel memberlakukan kebijakan larangan penjualan minuman beralkohol alias minuman keras di minimarket seluruh Indonesia. Namun, larangan yang tertuang dalam Peraturan Menteri Perdagangan (Permendag) Nomor 06/M-DAG/PER/1/2015 tentang Pengendalian dan Pengawasan terhadap Pengadaan, Peredaran, dan Penjualan Minuman Beralkohol itu kini akan diubah."
11-Aug-20,Corona Adalah Hoaks,CORONA IS A HOAX
28-Jul-20,Kapal Kargo Pengangkut Kadrun Tenggelam Di Laut China Selatan,"Kapal Kargo dari Indonesia tujuan ke China dilaporkan tenggelam di Laut China Selatan pada Sabtu malam pukul 22:00 waktu setempat akibat kebocoran lambung Kapal. Kapal tersebut mengangkut Kadrun tujuan China dengan tujuan sebagai objek percobaan Vaksin Covid-19, dimana harga monyet di China sangat mahal sementara harga Kadrun bisa 10 kali lebih murah dari harga monyet. Sampai saat ini masih dalam penyelidikan Otoritas Tiongkok mengenai sebab kecelakaan fatal tersebut."
20-Jul-20,Foto Gubernur Anies Sedang Makan Dengan Sekumpulan Orang Jawa Tulen,"Terlihat sekumpulan orang Jawa tulen yang sedang menyantap kuliner khas Jawa, berupa nasi samin, kebab, buaya panggang, dan minumannya tentu fifis onta segar. Percakapan dari mereka pun memakai bahasa Jawa halus alias kromo inggil pula.Seperti, ana, akhi, antum, afwan, dan lain lain. Hmmm, sungguh mengagumkan sekali bukan? Nb : Seng wani protes PKI. Opo kowe Bong? ,"
19-Jul-20,Mulan Jameela Undur Diri Dari Dpr Ri,Nah Mundur lebih terhormat daripada di pecat ! Hayo yang lain Monggo mengundurkan diri saja kalau merasa tidak sanggup dan tidak becus kerjanya !
24-Jun-20,"Video Fkppi Dari Bandung Sudah Berkumpul Di Monas, Siap Siaga Apabila Ruu Hip Di-Syahkan Oleh Dpr","*FKPPI dari Bandung sudah berkumpul di Monas, siap siaga segala kemungkinan terjadi apabila RUU HIP di-syahkan oleh DPR.* *Revolusi jihad mati syahid atau hidup mulia, bela negara dari ancaman Komunisme!*"
11-Jun-20,30 Pembantu Baru Positif Corona Di Penjaringan,Pembantu yang baru datang 30 Orang di tes semuanya positif Corona
14-May-20,Foto Sudjiatmi Disiksa Di Alam Barzakh,"SUDJIATMI DISIKSA DI ALAM BARZAKH Hj. Sudjiatmi ( Ibu Presiden Jokowi) Tersiksa di alam kubur secara sadis, secara brutal dan sangat kejam. Tanpa ampunan. Disaat tgl. 25 april 2020 bulan lalu Jenazah H. Sudjiatmi di semayamkan ke alam kubur, entah tiba2 hanya seorang yang belum beranjak dari makamnya. Beliau ternyata Presiden Joko Widodo."
9-May-20,Berdamai Dengan Corona Yang Dimaksud Jokowi Adalah Pemerintah Telah Kalah Dan Menyerah,"ASTAGHFIRULLAH, KEMARIN BERSAMA KITA LAWAN VIRUS CORONA SEKARANG AYO KITA BERDAMAI DNGN VIRUS CORONA ARTINYA PEMERINTAH TELAH KALAH DAN MENGIBARKAN BENDERA PUTIH TANDA MENYERAH."
20-Apr-20,Penerima Stiker Pada Pesan Whatsapp Dikenakan Sejumlah Biaya,"Tahukah teman2 ku di group ini Kenapa menggunakan stiker, menguntungkan pembuat nya, Setiap stiker atau gambar yg saudaraku krmkan di wa ini pembayarannya dibebankan kpd yg menerima Rp.250,-."
12-Mar-20,Foto  Mahfud Md Mengaku Mirip Ashraf Ingin Nikahi Bcl,Mengaku Mirip Ashraf Pria ini Ingin Nikahi BCL
1-Mar-20,"Telah Diculik Umur Anak 5 Bulan, Kejadian D Angkot Lebak Bulus Parung Ibunda Si Bayi Dihipnotis","Telah diculik Keponakan Dari ibu yulianah
 Umur anak 5 bulan
 Jenis kelamin perempuan
 Kejadian d Angkot lebak bulus parung
 Ibunda si bayi dihipnotis d Angkot, Diturunkan di pondok cabe oleh pelaku.penculikan
 Kejadian Hari sabtu 29feb 2020 sekitar jam 16.00"
12-Feb-20,Virus Corona Sudah Sampai Di Apartemen Taman Anggrek,"Dapet Info dari Client, Virus Corona udah sampe sini. di Apartement TA udah ada org wuhan yg kena tp management tutup2i. Supaya mall bs beroperasi dan mrk ga rugi. barusan bgt dpt info dr client saya yg suaminya org cina, mrk ada komunitas org cina di indo dan mrk kasih tau utk jauhi apartement TA dan sekitarnya"
6-Feb-20,Presiden Cina Xi Jinping Mengunjungi Masjid Dan Meminta Umat Islam Berdoa Untuk Negeri Yang Sedang Dilanda Krisis,Presiden Cina xi jinping mengunjungi masjid dan meminta umat Islam untuk berdoa di negara yang sedang dilanda krisis ini. Kami membutuhkan bantuan Anda.
10-Jan-20,Pesan Berantai Biaya Tilang Baru,"BIAYA tilang terbaru di indonesia: Kapolri baru mantap
 
 1. Tidak ada STNK
 
 Rp. 50,000
 
 2. Tdk bawa SIM
 
 Rp. 25,000
 
 3. Tdk pakai Helm
 
 Rp. 25,000"
30-Dec-19,Video Jokowi Mulai Pucat Sby Ungkap Pelaku Korupsi,JOKOWI MULAI PUC4T SBY UNGK4P P3L4KU K0rup51 Jiwasraya Diduga Orang Belakang JOKOW1 (HEBOH)
20-Dec-19,All Jakarta Water Park,PERKENALKAN: ALL JAKARTA WATER PARK
3-Dec-19,Pergantian Kartu Keluarga Warga Dki Jakarta,"Dinas Dukcapil Jakarta tidak mewajibkan warga Jakarta mengganti KK lamanya dengan tenggat waktu. Imbauan untuk segera memutakhirkan data memang terus didorong pemerintah, terutama input data status pernikahan, golongan darah, dan susunan anggota keluarga."
27-Nov-19,Usus Ibunya Dimakan Oleh Bayi Ini,"Bayi ini 11 bln dlm perut ibunya.
 Habis usus ibunya dimakan oleh Bayi ini, kemudian dokter mengoprasi ibunya untuk mengeluarkan Bayi ini Ketika Bayi ini keluar, dia gigit tangan perawat Setelah 3 jam si Perawat meninggal, IBU Bayi ini pun meninggal setelah Bayi ini keluar Bayi ini lahir dgn berat 8 kg, setelah 3 jam bertambah naik beratnya menjadi 13 kg Bayi ini lahir hari jumat, tidak tahu Allah ingin kasi peringatan apa untuk kita semua Bayi ni kemudian dibunuh, dokter memberinya suntik mematikan sampai 17 kali baru bayi ini mati Ini kisah benar-benar terjadi di India Wallahu Alam"
15-Oct-19,Foto Awan Mengerikan Di Jepang,"Ngeri si, semoga tmn2 yg ada disana selamat amin yrb #PrayForJapan"
19-Sep-19,Narasi Presiden Korea Utara Menghukum Pejabatnya Yang Korupsi,"Presiden Korea Utara menghukum pejabatnya yang terlibat dalam kasus korupsi dihadapan para awak media cetak dan elektronik.
 
 Caranya ?
 Berrjalan bergandengan tangan lalu
 Plung ! Dibawahnya kandang BUAYA! Luaaaar biasaaa!"
14-Sep-19,Almarhum Habibie Di Formasi Jas Merah Mob Umm,"Adapun formasi tersebut adalah merah-putih, KH Ahmad Dahlan, Logo UMM, Students Today, Leaders Tomorrow, Peta Indonesia, dan Pray for Lombok."
9-Aug-19,Petugas Tewas Tersetrum Ketika Melakukan Perbaikan Listrik,KECAMATAN PEDURUNGAN
23-Apr-19,Tv Luar Negeri Sudah Memberitakan Prabowo The Next Presiden,TV Luar Negeri Sudah Memberitakan Prabowo The Next Presiden
16-Apr-19,Ketua Kpu Umroh Bareng Jokowi,"ANEH ! MENJELANG HARI H PEMILU KOQ BISA2NYA KETUA KPU UMROH BARENG JOKOWI ? PADAHAL BANYAK MASALAH DI KPU SAAT INI TERUTAMA DI KPLN.
BUKANKAH INI PELANGGARAN ?"
21-Feb-19,Tiket Promo Kereta Api Hut Bumn 21,"jalan2 naik kereta yuuuuk
 
 Hayo jalan2 Tiket KA Promo"
25-Dec-18,Simulasi Orang Gila Di Bawa Ke Tps Saat Pemilu Nanti,Simulasi orang Gila di bawa ke TPS saat pemilu nanti.Pertama terjadi Di Dunia!
18-Dec-18,Broadcast Whatsapp Info Test Seleksi Gtt/Ptt,"Tabe. Siapa tahu ada keluargata yg guru SMA, ini ada info"
3-Dec-18,Puan Maharani Buka Posko Logistik Di Reuni 212,"INFO. BUAT ALUMNI 212 HARAP HINDARI POSKO 14 DI MONAS, POSKO 14 MILIK PUAN MAHARANI YANG MENUJU KE ISTIQLAL. SEBARKAN AGAR JAMAAH YANG LAIN TAU"
02-Okt-18,Penerbangan Pesawat Hercules Gratis Ke Palu Untuk Keluarga Korban Gempa Dan Tsunami,Jadwal Hercules malam ini jam 19.00 dan 03.00 subuh besok. Di Lanud Makassar.
29-Agu-18,Capt. Pribadi Adalah Pengemudi Pesawat Yang Mengijinkan Hj. Neno Warisman," Capt. Pribadi adalah pengemudi pesawat yang mengijinkan Hj. Neno Warisman, sang dedengkot gerakan makar #2019GantiKhilafah untuk menggunakan sistem pengeras suara pesawat beberapa waktu lalu "
30-May-18,Dua Alquran Yang Diklaim Sebagai Al-Quran Palsu Kembali Beredar,ini alquran palsu karang orang kafir
5-May-18,Yel-Yel Kecebong Yang Merencanakan Untuk Menyusup Di Cfd,"Ane sebarin deh videonya. Nih liat yel-yel kecebong yg merencanakan untuk menyusup di CFD untuk menghancurkan HASTAG #2019GantiPresiden.
 Cc. @BangPino_ @NetizenTofa @zarazettirazr @roninkhalid @Ndoro__Putrie @RestyCayah @ardi_riau
 .DAN ALLAH SEBAIK-BAIK PEMBALAS TIPU DAYA"
14-Mar-18,"Kecam Pernyataan Said Aqil, Neno Warisman: Kami Para Ibu Tidak Terima!","Kecam Pernyataan Said Aqil, Neno Warisman: Kami Para Ibu Tidak Terima!
 Pernyataan kontroversial Ketua PBNU Said Aqil Siradj yang mengatakan nonton film porno lebih baik daripada dengarkan ceramah radikal karena sambil istighfar mendapat kecaman dari pegiat pendidikan anak Neno Warisman. Dia menuliskan kemarahannya dalam tulisan berikut ini:"
19-Jan-18,Memerangi Allah Of Kung Fu,"Padahal nama tersebut merupakan hasil translate otomatis Google dari game aslinya yang berjudul Galaxy Fighting, God of Kung Fu."
19-Dec-17,Permen Susu Mengandung Narkoba,"Assalamualaikum ini ada informasi dari teman dokter. Anaknya bidan di Banyumas makan permen susu, trus 3 hari gk mau makan, ngefly. Disarankan temen dokter di purbalingga untuk membawa permen tsb ke BNN, ternyata hasilnya positif mengandung narkoba jenis benzodiazepin."
12-May-17,Konser Anies - Sandi No 3 Menang Telak,#KONSER GUE 3 MENANG TELAK
18-Feb-17,Poster Aksi Damai Bela Islam 5 Yang Mencantumkan Nama Dan Foto Gatot Nurmantyo,"Beredarnya poster aksi damai bela Islam 5 menjadi viral di media sosial. Sebab, di dalam poster tersebut terdapat nama dan foto Panglima TNI Jenderal Gatot Nurmantyo"
30-Jan-17,: Pernyataan Danjen Kopassus Dukung Fpi,TNI umumnya WARAS kecuali wereng coklatkenapa gitu yah ? masa sih sejarah buruk harus terulang kembalikan serem bgt. DANJEN KOPASSUS :FPI ITU ORMAS TERBESAR DAN SUKA MEMBANTU MEMBERANTAS KEMAHSIATAN. YANG HARUS DIBUBARKAN ORMAS PREMAN YANG SUKA MEMBEKINGI KEMAHSIATAN DAN SUKA BIKIN RESAH MASYARAKAT.
14-Dec-16,Gambar Salib Pada Barang Bantuan Bencana,"hati hati, dan Harus teliti menerima segala bentuk bantuan korban gempa. Kami mendapatkan gambar salib di handuk bantuan yg di edarkan"
5-Dec-16,Aksi 212 Dapat Penghargaan Rekor Dunia,Tersebar gambar dua piagam yang menyatakan jika aksi 212 mendapat penghargaan dari REKOR DUNIA
29-Jul-20,Foto Petinggi Kepolisian Mengizinkan Demo Neo Pki,Demo Neo PKI hari ini udah dapat ijin dari Buntelan kentut maaf ralat Dari Petinggi Kepolisian Tinggal tunggu gendering perang ditabuh aja
15-Jun-20,Tulisan Mana Teriakan Saya Pancasila Mu? Oleh Dr Abdul Muti Med,Mana teriakan Saya Pancasila mu ? Oleh : Dr Abdul Muti Med (Sekum PP Muhamadyah)
2-Jun-20,"Petugas Rapid Test Jarang Mengganti Sarung Tangan, Bisa Tularkan Covid-19 Dari Pasien Sebelumnya","Bila tiba-tiba anda/panjenengan terjebak dalam oprasi rapid tes dadakan/ujug ujug datang petugas yang mengharuskan mengikuti rapid tes, maka perlu diperhatikan sarung tangan petugs, kalau sarung tangan yang dipakai hanya itu-itu saja (satu) yang dipakai, tanpa ganti ganti, dimana setelah petugas itu pegang orang/oasien yang rapid tes, kemudian tanpa ganti sarung tangan petugas lalu memegang anda/panjenengan, maka disinilah letak rawannya penularan virus nya, karena kita ngga tau dan petugas pun ngga tau, apakah orang yang dipegang sebelum kita tadi, orang tersebut positif/reaktif atau negatif. jadi penularan bukan karena kita berada ditempat umum saja, akan tetapi saat rapid tes dilakukan massal"
20-May-20,Video Dokter Bule,"Ini nih dokter bule juga ngomong serupa bahkan ngasih data lebih lengkap & detail. Intinya covid 19 itu biasa aja, nggak mematikan, bisa sembuh sendiri. Mereka juga mengatakan kalau banyak yang meninggal karena penyakit lain tapi dimasukkan ke daftar covid 19 (kirain di sinih aja yang begitu). Lockdown / PSBB justru menimbulkan dampak yang sangat jauh lebih buruk dibanding covid 19."
2-May-20,Vietnam Tidak Ada Korban Meninggal Covid-19 Karena Teh Dan Lemon,Kabar gembira dan istimewa. Vietnam korban covid 19 tidak ada yng matiBerita super. obat virus covid 19 sudah tercapai informasi dari negara Vietnam. virus covid 19 tidak menyebabkan kematian. ternyata resepnya sangat sederhana tapi sangat ampuh. hanya 1 teh.2 lemon.minumlah teh panas setelah di campur perasan lemon.dapat segera membunuh virus covid 19.dan dapat sepenuhnya menghilangkan virus covid 19 dari tubuh2 bahan ini membuat sistem kekebalan tubuh menjadi bersifat basa. karena ketika malam tiba sistem tubuh menjadi asam. kemampuan detensif juga akan berkurang. itulah sebabnya orang Vietnam santai saja dengan menyebarnya virus covid 19 Di Vietnam rata2 semua orang minum segelas air panas dengan sedikit lemon di malam hari Karena telah terbukti membunuh virus covid 19 secara total Bagikan resep sakti ini kepada siapapun untuk memburu pahala Resep sederhana ini sangat efektif karena tidak akan terinfeksi virus covid 19. Atas izin Tuhan YMESelamat mencoba
23-Mar-20,Ratusan Warga China Yang Menetap Di Indonesia Menuju Singapura Karena Virus Corona,"Ratusan warga china yang Menetap di Indonesia tadi Pagi meninggalkan Indonesia Menuju Singapura karena situasi virus Corona yang menyerang Indonesia Mereka akan Kembali lagi jika situasi Di Indonesia Kembali normal,"
16-Mar-20,Dua Orang Terinfeksi Virus Corona Di Parepare,Dua orang Terinfeksi Virus Corona Di Parepare Waspada ki semua Tidak main main ini
14-Mar-20,The Simpsons 1993 Memprediksi Corona Virus Dari China,Jangan pernah meremehkan the simpsons the Simpsons 1993. Corona virus dari China.
18-Feb-20,Setelah Membakar Al-Quran Jari Tangan Pria Ini Menghitam Dan Membusuk Mengeluarkan Bau Menjijikan,"Azab yang sangat pedih menimpa seorang warga negara Amerika. Karena merobek-robek dan membakar Al-quran, dia terkena penyakit yang sangat misteri. Semua jari di kedua tangannya melepuh, membusuk, dan menghitam. Selain itu, pada lukanya tersebut juga menimbulkan aroma yang tak sedap."
5-Jan-20,"Marak Lowongan Kerja Mengatasnamakan Perusahaannya, Pt Inalum Minta Masyarakat Waspada","Manajer Humas PT Inalum, Bambang Heru Prayoga: Informasi selain dari yang kami sebutkan ini maka hal itu dipastikan hoaks atau penipuan. Kami harap tidak ada masyarakat yang terkena penipuan rekrutmen atas nama Inalum,"
26-Dec-19,Cara Cepat Cek Jantung Dengan Air Dan Es Batu,"*INGIN MENGETAHUI BAGAIMANA KESEHATAN JANTUNG ANDA?*
 Tes sederhana ini mendeteksi seberapa sehat jantung kita.
 Menjaga jantung agar tetap berfungsi dengan baik sangat penting untuk kehidupan sehat jangka panjang."
