tanggal,judul,narasi,label
28-Feb-18,Ketum Mui: Jangan Gunakan Nama Muslim Untuk Sebar Hoax,Ketum MUI: Jangan Gunakan Nama Muslim untuk Sebar Hoax,0
28-Nov-15,Jokowi Lebih Memilih Helikopter Buatan Luar Negeri Dibandingkan Buatan Pt Dirgantara Indonesia,"INSTING MAKELAR AKU Awalnya kaget, membaca berita dari berbagai Media nasional soal Pembelian Hellikopter Presiden jokowi. Dalam berita banyak disebutkan PT.DI Produksi Hellikopter sendiri jenis EC-725 dan lebih canggih, kenapa Pemerintah membeli Helikppter VVIP AW101 produksi Italia dan Inggris itu ?",0
2-Jan-18,Begini Kreativitas Dan Hasil Karya Anaknya Pleicieden? Serius Nanya Niy,Begini kreativitas dan hasil karya anaknya pleicieden? Serius nanya niy Termasuk pelecehan bukan ya kalo anak pleicieden yang bikin ? Serius nanya niy Cebongers kira kira bersuara atau diam ya ? Serius nanya niy,0
25-Jan-18,Video Planet Nibiru | Video Of Planet Nibiru,"Sesi Facebook live yang sudah selesai tersebut dibuat dengan cara mengulang (loop) video dengan durasi 21 detik menggunakan sumber yang sebelumnya sudah beredar di Internet, salah satunya di Youtube di tautan ini: https://goo.gl/ebNMBm, mengenai teori konspirasi Planet Nibiru.",1
4-Jul-20,Koplak Kompas Tv! Demo Tolak Hip Ga Disiarkan Giliran Demo Pdip Mereka Live,Koplak Kompas TV! Demo tolak HIP ga disiarkan giliran demo PDIP mereka live,1
2-Feb-17,: Pengobatan Jantung Koroner Dengan Terapi Kelasi  Bisa Gantikan Angioplasty,Pengobatan Jantung Koroner dengan Terapi Kelasi (Chelation) Bisa Gantikan Angioplasty,0
13-Feb-20,Surat Pengumuman Lelang Jabatan Di Kementerian Agama,PENGUMUMAN TENTANG SELEKSI TERBUKA CALON PEJABAT PIMPINAN TINGGI KEMENTERIAN AGAMA,1
10-Sep-19,Presiden Ke-3 Ri Baharuddin Jusuf  Habibie Meninggal Dunia,"Inalillahi wainalillahi rojiun. Seluruh warga bangsa ini berduka cita atas meninggalnya Presiden ke 3 Republik Indonesia, B.J Habibie.",1
7-Feb-18,Logo Jawapos.Com Dicatut Untuk Hoax,Logo Jawapos.com Dicatut untuk Hoax,0
10-Dec-17,Penangkapan Kendaraan Sepeda Motor Besar-Besaran Di Polsek Kenjeran,Yang merasa kehilangan motornya di sekitar Surabaya telah di adakan penangkapan besar2an di polsek Kenjeran dan ada sekitar 300 unit sepeda motor telah di amankan. Apabila berkenan hub Polsek Kenjeran untuk cek Unit disertai bukti2 n surat2 kendaraan,1
17-Aug-20,Presiden Joko Widodo Terlihat Memakai Pakaian Kaisar China,"Banyak yang kaget lihat foto ini, banyak juga yang memuja, emang hebat presidenku, out of the box, salah satu postingan.",1
27-Sep-19,"Sekarang Pelajar Dan Mahasiswa Juga Sudah Kotor Sepatunya. Tuan, Kini Kita Sama. #Bloodyshoes","Sekarang pelajar dan mahasiswa juga sudah kotor sepatunya. Tuan, kini kita sama. #BloodyShoes",1
