judul,narasi,label
Pembongkaran Mesjid China Memicu Kebuntuan Di Ningxia,"Ratusan Muslim di provinsi Ningxia, di bagian barat China berusaha menghalangi pihak berwenang yang bermaksud merobohkan masjid mereka.",0
"Klarifikasi Pihak Kepolisian Terkait Isu Pembegalan Di Pesing, Jakarta Barat","Jakarta Barat ada yang menyatakan tak aman, dengan beredarnya voice note pembegalan, di Jembatan Fly Over pesing. Itu tidak benar. Hoaks,",0
Kh Asep Saifuddin Chalim Bantah Sebut Orang Yang Menyarankan Memilih Gus Ipul Telah Berkhianat,"Itu istilah hoax, itu sangat keji sekali. Saya punya rambu, saya punya upaya keras untuk tidak pernah mengatakan orang",0
Klarifikasi Terkait Isu Perubahan Nama Terminal Di Bandara Soekarno-Hatta,"Atas isu tersebut, pihak Angkasapura II berikan klarifikasi. Executive General Manager Bandara Internasional Soekarno-Hatta, Agus Haryadi menegaskan tidak ada pergantian atau penambahan nama pada Bandara Internasional Soekarno-Hatta (Soetta) maupun Terminal 1, Terminal 2, dan Terminal 3 di bandara tersebut.",0
"Katanya Ideologinya Pancasila, Memangnya Zina Dan Lgbt Sesuai Dengan Pancasila?","Ini pertanyaan serius, negeri yang mayoritas muslim, kok bisa tidak mempidanakan kumpul kebo alias zina? LGBT pun tidak melanggar hukum
Katanya ideologinya Pancasila, memangnya zina dan LGBT sesuai dengan Pancasila? Katanya Pancasila lahir dari Islam, padahal Islam sendiri tegas dan keras mengharamkan Zina dan LGBT
Kalau Pancasila melegalkan zina dan LGBT berarti pancasila bertentangan dong dengan Islam?
Jika kita anti Zina dan anti LGBT kita dikatain anti Pancasila anti NKRI begitu?
Serius Nanya
Komen yg bisa jawab. ",0
"Hoax Crisis Centres Will Be Launched To Counter Falsehoods Ahead Of Indonesian Elections, Says Founder Of Anti-Hoax Network","Pusat krisis Hoax akan diluncurkan untuk mengatasi kebohongan menjelang pemilihan Indonesia, kata pendiri jaringan anti-tipuan",0
Foto Pemandangan Kota Damaskus Suriah,Foto Pemandangan Kota Damaskus Suriah,0
Tni Mengklarifikasi Bahwa Kapal Motor Cepat  Komando Ad-1605 Tenggelam Bukan Karena Kelebihan Muatan,"Hasil investigasi sementara karena adanya kebocoran dari pipa strainer 
yang fungsinya untuk menyedot air laut sebagai pendingin mesin induk dan
 mesin bantu serta tingginya ombak saat itu,",0
Pembangunan Infrastruktur Yang Dibanggakan Oleh Presiden Ri Joko Widodo Di Papua Selama Ini Ternyata Menjadi Kedok.,"Pembangunan infrastruktur yang dibanggakan oleh Presiden RI Joko Widodo di Papua selama ini ternyata menjadi kedok lalainya pembangunan sumber daya manusia yang ada di sana. Belakangan kedok itu pun terkuak, 63 anak suku Asmat meninggal akibat gizi buruk dan wabah campak. Kematian tersebut menjadi indikasi bahwa rakyat Papua butuh perhatian khusus terutama kebutuhan pangan bergizi serta fasilitas kesehatan yang memadai. Bukan jalan beton yang dapat menghidupi mereka, melainkan pangan bergizi dan bantuan fasilitas kesehatan yang sebenarnya mereka butuhkan.",0
"Menara Masjid Al-Aqsha Di Jayapura Ditolak, Begini Respon Menteri Agama",Betapa sangat Toleransinya saudara kita di Jayapura yah. #SayaPancasila #SayaIndonesia,0
Kementrian Agama Bantah Sertifikat Perizinan Untuk Kelompok Bimbingan Ibadah Haji,"MENTERI AGAMA REPUBLLIK INDONESIA

Memberikan Ijin Operasional Penyelenggaraan Ibadah Haji dan Umrah serta
Kelompok Bimbingan Ibadah Haji, kepada: (NAMA TERTENTU)",0
Adakah Yang Mau Nyinyirin Pendeta Poligami Ini?,Adakah yg mau nyinyirin pendeta Poligami ini?,0
"Anies Kalah, Muslim Marah, Siap Revolusi","Tanpa rekam jejak yang bagus
 Tanpa program yang nyata
 Isu SARA lah yang jadi ujung tombak kampanye
 Dan
 TAK SIAP KALAH pulak.",0
Google Maps Tak Cantumkan Negara Palestina,"Tak pernah ada label Palestina di Google Maps, ujar seorang juru bicara Google dalam sebuah pernyataan yang dirangkum KompasTekno dari Fortune, Jumat (12/8/2016).",0
Bnpb Kecewa Ada Yang Sebar Hoax Bantuan Gempa Lombok,"Kepala Pusat Data, Informasi, dan Humas BNPB Sutopo Purwo Nugroho kecewa soal penyebaran bantuan untuk korban gempa Lombok yang diwarnai berita bohong (hoax).",0
Klarifikasi Polri Dan Kpk Terkait Kabar Kabareskrim Bongkar Rekening Gendut Ketua Kpk,Itu hoax banget,0
Perjuangan Situs Kebencian Mengemas Omong Kosong,PERJUANGAN SITUS KEBENCIAN MENGEMAS OMONG KOSONG,0
Kemenpan-Rb Bantah Terbitkan Laporan Penetapan E - Formasi Untuk Pengangkatan Cpns 2016 - 2019,"KemenPAN-RB tidak pernah mengeluarkan surat itu. Belum ada penetapan formasi CPNS untuk honorer, apalagi payung hukumnya tidak ada",0
Foto Presiden Dan Wakil Presiden Berlatar Bendera Merah,"Warna Bendera RI cuma MERAH ?
 Tolong bantu dicek lagi teman !
 Bila ditempat kerja, atau di ruang kelas anda masih terpasang foto presiden dan wapres yang latar belakangnya cuma berwarna merah. Supaya DICOPOT dan diganti dengan foto yang benar. Yaitu foto presiden dan wapres dengan latar belskang bendera MERAH PUTIH.
 Ingat, negara kita masih INDONESIA",0
Foto Wanita Iran Yang Menonton Piala Dunia Tanpa Hijab Menjadi Viral,Sebuah foto penggemar yang tampaknya biasa di Piala Dunia akan menjadi viral  dan melihat lebih dekat pada gambar menunjukkan alasannya.,0
