ID,tanggal,judul,narasi,label
0,17-Aug-20,Pemakaian Masker Menyebabkan Penyakit Legionnaires,A caller to a radio talk show recently shared that his wife was hospitalized n told she had COVID n only a couple of days left to live . A doctor friend suggested she be tested for legionnaires disease because she wore the same mask every day all day long . Turns out it WAS legionnaires disease from the moisture n bacteria in her mask . She was given antibiotics n within two days was better . WHAT IF these ‘spikes’ in COVID are really something else due to ‘mask induced infections’ .??🤔🤔🤔,1
1,17-Jul-20,Instruksi Gubernur Jateng tentang penilangan  bagi yg tidak bermasker di muka umum Rp.150.000 menggunakan e-tilang Via apps PIKOBAR,Yth.Seluruh Anggota Grup Sesuai Instruksi Gubernur Jawa Tengah Hasil Rapat Tim Gugus Tugas Covid 19 Jateng sbb:,1
2,13-Jul-20,Foto Jim Rohn: Jokowi adalah presiden terbaik dlm sejarah bangsa Indonesia,"Jokowi adalah presiden terbaik dlm sejarah bangsa Indonesia. Jim Rohn, motivator terbaik dunia",1
3,8-Jul-20,"ini bukan politik, tapi kenyataan Pak Jokowi berhasil memulangkan 11,000 Triliun uang negara dari Swiss.","Maaf Mas2 dan Mbak2, ini bukan politik, tapi kenyataan Pak Jokowi berhasil memulangkan 11,000 Triliun uang negara dari Swiss. 11ribu Triliun siap di bawa balik ke Indonesia.RUU Treaty on Mutual Legal Assistance in Criminal Matters between the Republic of Indonesia and The Swiss Confederation (MLA RI-Swiss) resmi disahkan DPR RI tanggal 3 juli 2020. Dengan demikian proses konstitusi menarik dana di Swiss sudah selesai. Perjuangan yang panjang menghadapi ex koruptor yang bersenggama dengan agama. Terimakasih para kadrun yang terus nyinyirian kapan uang 11.000 triliun kembali ke Indonesia. Tanpa anda nyinyir, rasanya sulit RUU itu bisa disahkan oleh DPR. Pemilik 84 rekening gendut siap siap gigit jari . Mungkin tekanan ke Pak Jokowi makin kencang. ini baca beritanya",1
4,24-Jun-20,Foto Kadrun kalo lihat foto ini panas dingin,Kadrun kalo lihat foto ini panas dingin . .,1
5,17-Jun-20,event promo smartphone JNE 2020 spesial di bulan juni,"selamat siang teman teman fb ku semuanya🤩,cuman mau memberi informasi dan rezeky gak kemana ya😊, kemarin saya mengikuti event promo smartphone JNE 2020 spesial di bulan juni ini dan saya mesan smartphone VIVO V15 PRO cuman seharga Rp.900.000-,gak nyangka cuma seharga Rp.900.000 aku bisa mendapat hp VIVO V15 PRO 😍,bagi teman teman fb ku yg penasaran atau mau ikutan INBOX AJA WA ADMINNYA 0823-7142-9***",1
6,5-May-20,MEREKA SUDAH MEMPERSIAPKAN DIRI DENGAN BAIK UNTUK MENGUASAI NEGRI INI!,LIHATLAH MEREKA SUDAH MEMPERSIAPKAN DIRI DENGAN BAIK UNTUK MENGUASAI NEGRI INI!,1
7,24-Mar-20,Foto Presiden Italia menangis karena tak cukup lahan untuk mengubur 700an korban corona per hari,Italia punya fasilitas perawatan kesehatan tercanggih tapi semuanya gagal mengendalikan corona karena awalnya itu hanya dianggap sekadar lelucon dan sekarang presiden mereka menangis karena tak cukup lahan untuk mengubur 700an korban corona per hari (mungkin hari ini sudah lebih dari 700).,1
8,9-Jan-20,"Kapolres Timor Tengah Utara , Nusa Tenggara Timur  Beri Klarifikasi Terkait Video Polisi Diamkan Korban Kecelakaan",Polisi goblok. Bukanya cpet” d tolongin malah d liati aja,1
9,24-Dec-19,Video Polisi china telah menganiaya wanita uighur lehernya di cekik pake kaki,"Polisi china telah menganiaya wanita uighur lehernya di cekik pake kaki ,melek tu yg bilang tidak ada penganiayaan Dan Ham diam seribu bahasa … Seolah” polisi itu berkata liat nanti giliran anda sama orang di sekitarnya biadab",1
