tanggal,judul,narasi
25-Oct-17,Sandi Sarankan Warga Ngadu Ke Kelurahan Saja,Astaga! Sandiaga Sarankan Warga Ngadu ke Kelurahan Saja Tak Perlu ke Balai Kota 
13-Jul-17,"Irina, Istri Ahli It Hermansyah Disebut Mantan Psk","Irina, Istri Ahli IT Hermansyah disebut Mantan PSK"
8-Mar-17,"Nezar Patria Adalah Kader Pki, Ikut Rapat Setiap Malam Di Istana Setelah Jam 8 Malam, Demikian Tuduhan Dari Alfian Tandjung","Nezar Patria adalah Kader PKI, Ikut Rapat Setiap Malam di Istana Setelah Jam 8 Malam, Demikian Tuduhan dari Alfian Tandjung"
17-Jul-18,"Coach Indra Sjafri: Saya Pernah 1 Tahun Tak Digaji, Tapi Ikhlas",Kendati sukses mengantarkan Timnas Indonesia U-19 juara Piala AFF U-19 2013 dan lolos ke putaran final Piala Asia U-19 2014
28-Apr-18,Kronologis Polisi Berondong Sedan Terobos Razia Di Lubuklinggau,"Innalillah Hanya Karena Lalai Terobos Razia, Mobil Berisi Satu Keluarga Ditembaki Polisi, Satu Orang Tewas"
26-Apr-18,Kemristekdikti: Bukan Undang Dosen Asing Tapi Profesor Kelas Dunia,"Bukan dosen asing, tapi profesor kelas dunia. Orang Indonesia pun bisa mengikuti program ini, asalkan dia mengajar di universitas di luar negeri dan mempunyai koneksi dengan peraih Nobel, kata Direktur Jenderal Sumber Daya Iptek dan Dikti Kemristekdikti Ali Ghufron Mukti di Jakarta, Selasa"
7-Feb-17,Surat C6 Sebagai Syarat Memberikan Hak Pilih Pada Pilkada Dki Jakarta,"Pengumuman penting soal Pilkada DKI 2017. Pemilih Wajib ambil surat C6 on 12  13 Feb dgn pengurus RT. Apabila sampe 14 Feb surat C6 tidak diambil langsung pemilik, RT akan kembalikan ke KPU & warga DKI yg tidak milik C6 hanya bisa memilih jam 12.00  13.00 saja! Bawa E-KTP, SuKet + KK asli. Jika lewat dari pk 13.00 Suara Anda Hangus! Tlg Sebarkan! Thank you"
26-Jul-19,Bahaya Daging Kurban Dibungkus Kresek Hitam,"Yusuf Ridwan mengatakan, kantong plastik kresek berwarna hitam mengandung zat karsinogen dan zat pewarna yang bisa tercampur dengan daging. Akibat kontaminasi zat ini dapat menyebabkan kanker dalam waktu lama.Yusuf Ridwan mengatakan, kantong plastik kresek berwarna hitam mengandung zat karsinogen dan zat pewarna yang bisa tercampur dengan daging. Akibat kontaminasi zat ini dapat menyebabkan kanker dalam waktu lama."
22-Mar-19,Penjelasan Terkait Video Truk Kontainer Bergambar Jokowi-Maruf Amin,Truk semi kontainer Paslon 01 ini kira-kira membawa apa 
4-Sep-18,Universitas Muhammadiyah Kupang Bantah Akan Menginisasi Gerakan #Gantipresiden2019,"Terkait salah satu dosennya menjadi insiator Gerakan #GantiPresiden2019 di Kabupaten Manggarai Barat, Nusa Tenggara Timur (NTT), pihak Universitas Muhammadiyah Kupang (UMK) membantah bahwa kampusnya terlibat dalam gerakan tersebut."
07-Agu-18,Pks Dan Gerindra Purwakarta Bantah Pasang Spanduk Yang Dinilai Provokatif,Kami Caleg Partai Gerindra dan PKS Menolak Khilafah. Indonesia Damai Menolak Khilafah di Wilayah Purwakarta. Barisan Muda Muslim Purwakarta.
22-Aug-17,Pengoperasionalan Kereta Bandara,"Buat teman2 yang ada kunjungan ke Jakarta, sejak 17 Agustus 2017 sudah ada transportasi kereta api dari bandara Soekarno-Hatta?"
18-Jul-17,Tusuk Gigi Sebarkan Hiv Aids,Tusuk Gigi Sebarkan HIV AIDS
28-Mar-19,Penjelasan Kpu Gowa Terkait Baliho Surat Suara Yang Tidak Mencantumkan Foto Capres-Cawapres Prabowo-Sandi,"Hari ini
Pemasangan baliho contoh surat suara Pilpres 
oleh KPU
Di Kec Bontonompo Kab Gowa
Mana foto capres cawapres 02?
Luar Biasa KPU Gowa
Kalian sudah mencederai demokrasi"
25-Sep-18,Kementan Bantah Siluet Wajah Yang Ada Dibungkus Plastik Bertuliskan Beras Segar Dan Toko Tani Indonesia Ialah Presiden Jokowi,"Gambar atau foto yang tertera pada kemasan beras Toko Tani Indonesia adalah bukan foto Presiden RI Bapak Jokowi. Itu foto model staf Kementan di Biro Umum dan Pengadaan Kementan, Mas Agus Faizal, kata Kepala Biro Humas dan Informasi Publik Kementan, Kuntoro Boga Andri, Selasa (25/9)."
15-Agu-18,Dinkes Aceh Membantah Atas Isu Pelajar Lumpuh Setelah Vaksin Mr,"Itu secara kebetulan. Tidak berhubungan dengan imunisasi. Ini penyakit sendiri bukan efek dari vaksin MR, ujarnya."
29-Jun-18,: Maradona Bantah Kabar Dirinya Meninggal Usai Laga Argentina Vs Nigeria Pada Piala Dunia 2018,: Maradona Bantah Kabar Dirinya Meninggal Usai Laga Argentina vs Nigeria Pada Piala Dunia 2018
4-Mar-18,Penjelasan Terkait Berita Muslim Cyber Army Yang Tidak Sesuai Standar,"Berdasarkan peninjauan internal redaksi, ditemukan fakta bahwa editor terburu-buru dalam mengunggah artikel tersebut. Sehingga, mengabaikan standar yang ditentukan terutama terkait dengan cover bothside. Termasuk, untuk selektif dalam mencari narasumber karena telah menjadikan akun anonim sebagai rujukan utama."
27-Feb-18,"Teror Kiai Di Ponpes Kediri Hoax, Ini Cerita Sebenarnya","Teror Kiai di Ponpes Kediri Hoax, Ini Cerita Sebenarnya"
8-Feb-18,Penganiayaan Ulama Di Bogor,"Utk Kesekian kalinya terjadi Penganiayaan thdp Ulama2 di JaBar
 Hr ini Ulama Bogor, Ust.sulaiman dibacok orang gila di bogor
 Umat ISLAM Rapatkan Barisan. Always Waspada
 #Waspada
 #SaveUlama
 #HasbunallahWanimalWakiiil"
26-Jan-18,Bahaya Makan Rambutan Sambil Minum Teh Manis Sebabkan Penyumbatan Saluran Pernapasan,Bahaya Makan Rambutan Sambil Minum Teh Manis Sebabkan Penyumbatan Saluran Pernapasan
22-Oct-15,Indonesia Gagal Wujudkan Swasembada Pangan,Pemerintah rencana impor beras 1 juta ton = Indonesia gagal swasembada
16-Mar-20,Update Status Terkait Penutupan Beberapa Destinasi Wisata Di Diy,"Kita sudah komunikasikan dengan Kementerian BUMN dan sesuai dengan ajakan Presiden Jokowi, bahwa TWC akan berlakukan penutupan bagi pengunjung,"
25-Apr-19,Klarifikasi Kpu Terkait Pernyataan Ustaz Haikal Hassan Mengenai 13 Juta Pemilih Yang Gila,"Mohon maaf, pak @haikal_hassan. Pemilih gila itu hoax. Yg benar, sesuai Putusan MK 135/2015 adalah pemilih dg gangguan jiwa/ingatan. Gila hanya salah satu jenisnya. Lagipula angkanya juga hoax. Dulu 14 juta. Sekarang didiskon jadi 13 juta. Yg benar hanya 54.295. Demikian"
22-Apr-19,15 Kotak Suara Dprd Jambi Dibakar Otk,"Berita Pagi ini di TV One, Berhubung 02 unggul di Jambi, Kardus KPU dibakar Oleh oknum untuk menghilangkan bukti C1
Sekarang sudah pahamkan kenapa kotak suara dari kardus?"
12-Agu-18,Indo Barometer Bantah Buat Hasil Survei Pilpres 2019 Antara Jokowi Dan Prabowo,"Secara tegas Indo Barometer menyatakan meme hasil survei Pilpres 2019 tersebut hoax alias tidak benar. Kami dari Indo Barometer mengklarifikasi, bahwa data tersebut tidak benar dan bukan bersumber dari Indo Barometer, ujar Direktur Eksekutif Indo Barometer, M. Qodari, Minggu (12/8)."
8-May-18,Tulisan #2019Gantipresiden Di Struk Pembayaran Ayam Geprek Eskom,"[]Kami klarifikasi sekali lagi,Tulisan #2019gantipresiden merupakan inisiatif oknum karyawan yg punya hak di mesin kasir,bukan dr pihak owner.[]"
17-Apr-18,: Lsf Mengklarifikasi Terkait Pemotongan 7 Menit Durasi Film Avengers Infinity War,LSF Mengklarifikasi Terkait Pemotongan 7 Menit Durasi Film Avengers Infinity War
29-Oct-17,"Yang Nangkap Polisi Kamboja, Yang Ribut Netizen Indonesia","Yang Nangkap Polisi Kamboja, yang Ribut Netizen Indonesia"
4-Jul-17,: Baliho Red Army Di Kota Malang Adalah Simbol Kebangkitan Pki,"Red Army itu kalau orang melihat itu kan identik dengan komunis. Identik dengan satuan di Uni Soviet, di Vietnam maupun di China"
25-Sep-18,Polri Minta Kominfo Blokir Situs Skandalsandiaga.Com,"Kita sudah komunikasi dengan Kemenkominfo untuk memblokir situs tersebut ya, kata Kabid Humas Polda Metro Jaya, Kombes Argo Yuwono, Selasa (25/9)."
24-Apr-18,Video Jokowi Bagi-Bagi Duit 2016 Dipelintir,"Dari penelusuran yang dilakukan Jawa Pos, video itu sebenarnya sudah lama. Sejak 2016 sudah beredar di media sosial."
16-Nov-17,Ketika Emosi Dominasi Politik,"Ketika Emosi Dominasi Politik

"
27-Sep-17,"Bahasa Jepang Ike Dikonotasikan Sebagai Kata Komunis, Sipit, Pki Dan Lgbt","Awas! Untuk orang tua yang memiliki putra dan putri yang sudah remaja dan beranjak dewasa, bekali dan bentengi putra-putri Anda denga ilmu Agama jika tidak ingin putar-putri Anda terjerumus ke dalam jurang kehancuran yang salah satunya adalah IKEH-IKEH
 Colek KOMUNIS
 Hmmm matanya sipit!"
12-Apr-17,"Anies Kalah, Muslim Marah, Siap Revolusi","Tanpa rekam jejak yang bagus
 Tanpa program yang nyata
 Isu SARA lah yang jadi ujung tombak kampanye
 Dan
 TAK SIAP KALAH pulak."
17-Jul-18,Bkd Provinsi Papua Tidak Pernah Janjikan Jatah Penerimaan Cpns 2018,Saya dan staf di BKD Papua tidak pernah meminta uang untuk menjanjikan jatah dalam penerimaan CPNS.
11-Jan-18,: Penerapan Sistem Ganjil Genap Di Tol Cikampek,rencana membatasi kendaraan berdasarkan pelat nomor ganjil-genap di Tol Jakarta-Cikampek akan diuji coba pada Selasa (22/8/2017). Uji coba sistem tersebut hanya dilakukan pada pagi hari.
30-Nov-17,Pemerintah Dengan Asik Duduk Dikursi Diskusi Dan Bilang.,"Bantu #Viraklan lagi ya sob ! Kita Rakyat Indonesia Harus Tau mereka yg Rakus2 Dunia lagi lagi #MenindasWongCilik.
Sakit Hati ini melihat saudara2 kita diperlakukan seperti itu oleh penguasa Rakus. Mreka seblumnya hidup damai sbgai petani, tapi lihat saat ini, tak ada kedamaian lagi disana. ?"
17-Sep-18,Demokrat: Iklan Jokowi Di Bioskop Mengganggu Hak Konsumen,Demokrat: Iklan Jokowi di Bioskop Mengganggu Hak Konsumen
23-Agu-18,Mui Ajak Masyarakat Tak Ragu Untuk Vaksin Mr,"MUI Pastikan Vaksin Rubela Positif Mengandung Babi dan Organ Manusia, Ini Penjelasan Resminya"
11-Apr-18,Setidaknya 70 Tewas Dalam Serangan Militer Afghanistan Di Masjid,"TAK ADA BERITA DI TV,TAK ADA SUARA HAM,TAK ADA SUARA INTOLERAN,TAK ADA SUARA HAM TAPI KAMI PUNYA ALLAH SWT"
22-Feb-18,Ahoker Dan Jokwer Akan Marah Besar Jika Di Katakan Pki Bangkit Lagi,"Ahoker dan Jokwer akan marah besar jika di katakan PKI bangkit lagi!
 Wahai saudaraku Mari kita waspada!"
4-Oct-17,"Punya Pistol Fn Saja Sudah Berani Begini Kepada Tni, .","Punya Pistol FN saja sudah berani begini kepada TNI, apa lagi sudah punya RPG, senjata anti tank, bisa2 Polisi melakukan kudeta."
19-Apr-17,Ujaran Kebencian Untuk Etnis China Yang Mengatasnamakan Sultan Hamengkubuwono X,"Sri Sultan Hamengkubuwono : Maaf Bukan SARA, Tapi Cina Dan Keturunannya Tidak Pantas Jadi Pemimpin Di Bumi Nusantara. Fakta Sejarah, Tionghoa Adalah Satu-Satunya Penghianat Negara Kesatuan Republik Indonesia (NKRI)."
7-Jan-17,Mastel Turut Optimalkan Peran Stakeholder Sektor Telematika Dalam Melawan Penyebaran Hoax,"Masyarakat Telematika Indonesia (MASTEL) memandang momen Aksi Turn Back Hoax yang akan diselenggarakan oleh Masyarakat Anti Fitnah Indonesia (Mafindo) secara serentak di 7 Kota pada hari Minggu, 8 Januari 2017, memiliki makna yang penting. Sebab, aksi ini akan melibatkan masyarakat secara terbuka dan mengedepankan peran masyarakat sebagai pelaku sentral dalam membangun kondusivitas kehidupan bermasyarakat, berbangsa dan bernegara"
25-Sep-18,Klarifikasi Terkait Video Viral Pagar Masjid Istiqlal Yang Ditutup,Ada apa dgn rezim ini Dl masjid istiqlal terbuka luas utk umat muslim maupun non muslim yg ingin beribadah maupun berwisata dr daerah2 maupun dr luar. Tp skrg pintu pagar masjid mulai membatasi umat utk msk kedlm masjid
1-Sep-18,Kak Seto Tidak Mengisi Acara Di Sampoerna Academy,"Atas pertanyaan masyarakat kepada Lembaga Perlindungan Anak Indonesia (LPAI) beberapa hari yang lalu tentang sebaran Whatsapp berisikan kabar Kak Seto akan mengisi acara di Sampoerna Academy, pihak LPAI memberikan klarifikasi."
28-Feb-18,"The Family Mca Dan Saracen, Bisnis Hoaks Serupa Tetapi Tak Sama","The Family MCA dan Saracen, Bisnis Hoaks Serupa tetapi Tak Sama"
18-Jan-18,: Bahaya Memakan Kepala Ikan Karena Mengandung Racun Ciguatoksin,Bahaya Memakan Kepala Ikan Karena Mengandung Racun Ciguatoksin
11-Oct-16,Februniye Walikota Kristen Pertama Di Kota Mardin Yang Mayoritas Warganya Beragama Islam,"Di dalam pemberitaannya, portal okterus.com mengatakan bahwa Kota Mardin, Turki memiliki Walikota Kristen perempuan pertama, yakni Februniye Akyol."
17-Feb-16,"Jokowi Bantu Laos Bangun Infrastruktur, Ketika Jembatan-Jembatan Di Indonesia Masih Meprihatinkan","Mohon pencerahan yg berita Sindo.
 
 Trus yg gambar Jembatan, lokasi dmn?apa sampai saat ini masih seperti itu? tanpa penanganan dr pemerintah setempat."
4-Dec-15,Dokumentasi Dinding Berlapis Emas Freeport,"Lihatlah didalam perut bumi di tanah Papua, dinding berbatu berlapis emas itu bukan cat tembok, bukan pula di studio film tapi inilah kegiatan setiap hari karyawan Freeport selama puluhan tahun."
2-Aug-16,: Waspada Scam Pesan Berantai Video Call Whatsapp,"[SCAM] Beredar broadcast aktivasi feature video call dengan pesan: *Wow ! New Whatsapp Video calling Version is leaked with HD quality and many More features, Click on below link to Download !*"
29-Jun-18,Wakapolri Tidak Pernah Beri Pernyataan Terkait Pilkada Kota Makassar 2018,"Tidak ada, berita itu hoaks. Polri netral, apalagi saya."
4-Jun-18,"Anggaran Tempat Sampah Jerman Rp 9,58 M, Dinas Lh Dki Buka Suara","Setelah melakukan pertimbangan secara teknis, kami pilih produk Jerman 
dengan pertimbangan kualitas, ucap dia. Isnawa pun menyebutkan garbage 
bin yang dipesan telah memiliki sertifikat standardisasi kelas dunia 
EN-840."
29-Mar-18,Arseto Pariadji Menyerahkan Diri Ke Polisi,Arseto Pariadji Menyerahkan Diri ke Polisi
22-Jan-18,Bisnis Gelap Di Balik Like Di Facebook,"Begitu halamannya telah mengumpulkan ribuan like dan komentar, maka halaman itu akan memiliki posisi tertinggi dalam News Feed para pengguna Facebook. Like bagaikan mata uang bagi situs tersebut"
24-Aug-17,: Arti Saracen Yang Dipakai Sindikat Penyebar Kebencian,Arti Saracen yang Dipakai Sindikat Penyebar Kebencian
18-Dec-16,Indonesia Tidak Ikut Aliansi Negara Islam Menyaingi Nato,MenyedihkanINDONESIA sbg negara mayoritas muslim terbesar di dunia tdk ikut dlm koalisi tentara islam dunia menyaingi NATO nya kafir.pdhl 34 negara sdh bergabung termasuk malaysia di dalamnyamemalukan
